Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1314332,Before I Die,Jenny Downham,"Downham, Jenny",,"=""0385613466""","=""9780385613460""",4,3.85,David Fickling Books,Hardcover,336,2007,2007,,2012/09/01,,,read,,,,,,,0,,,,,
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0553381695""","=""9780553381696""",4,4.40,Bantam,Paperback,761,2002,1998,2012/09/28,2012/09/01,,,read,,,,,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.44,Bantam,Mass Market Paperback,835,2005,1996,,2012/09/01,,,read,,,,,,,0,,,,,
1431,Veronika Decides to Die,Paulo Coelho,"Coelho, Paulo",Margaret Jull Costa,"=""0061124265""","=""9780061124266""",4,3.69,Harper Perennial,Paperback,210,2006,1998,,2012/09/01,,,read,,,,,,,0,,,,,
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,"=""0061142026""","=""9780061142024""",4,4.06,William Morrow Paperbacks,Paperback,250,2006,1999,,2012/09/01,,,read,,,,,,,0,,,,,
99561,Looking for Alaska,John Green,"Green, John",,"=""0142402516""","=""9780142402511""",4,4.11,Speak,Paperback,221,2006,2005,,2012/09/01,,,read,,,,,,,0,,,,,
4570768,Willow,Julia Hoban,"Hoban, Julia",,"=""0803733569""","=""9780803733565""",0,3.95,Dial Books,Hardcover,329,2009,2009,,2012/09/01,to-read,to-read (#2),to-read,,,,,,,0,,,,,
536,The Lovely Bones,Alice Sebold,"Sebold, Alice",,"=""""","=""""",3,3.76,Random House,Paperback,327,2006,2002,,2012/09/01,,,read,,,,,,,0,,,,,
4570679,Going Too Far,Jennifer Echols,"Echols, Jennifer",,"=""1416571736""","=""9781416571735""",0,3.93,Pocket Books/MTV Books,Paperback,245,2009,2009,,2012/09/01,to-read,to-read (#1),to-read,,,,,,,0,,,,,
544424,"Leaving Paradise (Leaving Paradise, #1)",Simone Elkeles,"Elkeles, Simone",,"=""0738710180""","=""9780738710181""",0,4.03,Flux,Paperback,303,2007,2007,2014/01/10,2012/09/01,,,read,,,,,,,0,,,,,
2914097,Paper Towns,John Green,"Green, John",,"=""0525478183""","=""9780525478188""",4,3.91,Dutton Juvenile,Hardcover,305,2008,2008,2014/01/01,2012/09/01,,,read,,,,,,,0,,,,,
22628,The Perks Of Being A Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""0671027344""","=""9780671027346""",4,4.21,MTV Books and Pocket Books,Paperback,213,1999,1999,,2012/09/01,,,read,,,,,,,0,,,,,
4374400,"If I Stay (If I Stay, #1)",Gayle Forman,"Forman, Gayle",,"=""0525421033""","=""9780525421030""",4,3.96,Dutton Books for Young Readers,Hardcover,201,2009,2009,,2012/09/01,,,read,,,,,,,0,,,,,
1217100,Thirteen Reasons Why,Jay Asher,"Asher, Jay",,"=""1595141715""","=""9781595141712""",5,4.05,Razorbill,Hardcover,288,2007,2007,,2012/09/01,,,read,,,,,,,0,,,,,
6482837,Before I Fall,Lauren Oliver,"Oliver, Lauren",,"=""0061726818""","=""9780061726811""",4,3.92,HarperCollins,Paperback,470,2010,2010,,2012/09/01,,,read,,,,,,,0,,,,,
51737,The Truth About Forever,Sarah Dessen,"Dessen, Sarah",,"=""0142406252""","=""9780142406250""",3,4.13,Penguin Group Inc.,Paperback,374,2004,2004,,2012/09/01,,,read,,,,,,,0,,,,,
